gene,note,pmids,status,reviewer
ZEB1,"Zinc-finger E-box transcription factor that drives epithelial-mesenchymal transition (EMT). Studies link ZEB1 to endometrial receptivity through EMT and E-cadherin regulation, mainly in endometrial epithelial cells; a direct role in stromal decidualization has not been established.",32139122;37894829,draft,
ESR1,"Estrogen receptor alpha, the main mediator of estrogen action in the endometrium. Reported to interact with cAMP/MED1 signalling during human decidualization; disrupted ESR1 and PGR-B signalling is linked to defective decidualization, and ESR1 polymorphisms have been associated with recurrent implantation failure.",26849466;34709177;30611552,draft,
FOXO1,"Forkhead transcription factor and one of the best-studied regulators of human decidualization. Many studies show that pathways impairing decidualization (e.g. m6A/METTL3, NEK2 phosphorylation) act by reducing FOXO1, and that BMP4 and PGRMC1 influence decidualization through FOXO1.",38679470;37891533;38795132;36008941,draft,
MEIS1,"TALE homeobox transcription factor and HOXA10 co-factor. Reported to be required for decidualization of human endometrial stromal cells and proposed as a link between sex-steroid signalling and uterine receptivity genes.",32197234;24985084,draft,
PGR,"Progesterone receptor, the central driver of the decidual program. Studies show PGR cooperates with GATA2, CREB1 and STAT3 during stromal decidualization; loss of PR expression (e.g. via miR-297) or disrupted PGR-B signalling impairs decidualization.",32335672;37786383;37890652;36572643,draft,
HAND2,"bHLH transcription factor induced by progesterone in endometrial stroma. Reported to play a key role in progestin-induced decidualization and to up-regulate IL15 in endometrial stromal cells.",24745730;32444497,draft,
WT1,"Wilms tumour 1 transcription factor. Regulates decidualization of human endometrial stromal cells downstream of C/EBPbeta, including glucose-transporter (GLUT1) induction and lipid accumulation; expression is reduced in PCOS endometrium during the window of implantation.",28977591;34478711;32098869;22238403,draft,
HOXA10,"Homeobox transcription factor and a classic endometrial receptivity gene. Reported to improve receptivity (e.g. via E-cadherin); reduced HOXA10 (for example through METTL3-mediated m6A methylation) is associated with recurrent implantation failure.",35044439;34906165;26552702,draft,
HOXA11,"Homeobox transcription factor that works with HOXA10. Regulated HOXA10/HOXA11 expression is described as necessary for endometrial receptivity; abnormal promoter methylation has been found in women with repeated implantation failure.",26552702;31532317,draft,
STAT3,"Cytokine-activated transcription factor (e.g. downstream of LIF and IL-11). LIF-STAT3 signalling is reported to be dysregulated in the endometrium of women with recurrent implantation failure, and a USP7-STAT3-PR axis promotes decidualization.",27304912;37890652;16709613,draft,
CEBPB,"C/EBPbeta, a bZIP transcription factor strongly induced at implantation. Reported to reprogram H3K27ac and gene expression during decidualization, to regulate decidual markers IGFBP1 and PRL, and to act upstream of WT1.",33232782;24248464;28977591;20224108,draft,
GATA2,"GATA-family transcription factor that interacts with the progesterone receptor in endometrial stromal cells undergoing decidualization; GATA2 dysregulation has been linked to impaired receptivity in adenomyosis.",32335672;37972693,draft,
KLF9,"Krüppel-like factor that co-regulates progesterone-receptor-responsive genes in endometrial stroma. Loss of KLF9 is proposed to contribute to progesterone resistance and to compromise uterine receptivity.",22259059;20410205,draft,
KLF12,"Krüppel-like transcriptional repressor. Elevated in the endometrium of women with repeated implantation failure, where it represses decidualization genes and NR4A1 (Nur77) and is accompanied by lower FOXO1.",28359310;26223982;23458459,draft,
KLF15,"Krüppel-like factor; loss of KLF15 is reported to impair endometrial receptivity (via reduced EMT) in endometriosis.",38513352,draft,
PAEP,"Glycodelin, a progestagen-induced secretory glycoprotein and classic receptivity marker. Blood and tissue glycodelin were reported lower in women with recurrent implantation failure during the implantation window, although serum levels did not predict receptivity in IVF.",25747132;23585335,draft,
EGR1,"Immediate-early transcription factor. Endometrial EGR1 is reported to be decreased in recurrent implantation failure, and EGR1 function is needed to prime stromal cells for decidualization.",30711473;25486203,draft,
NR2F2,"COUP-TFII, a nuclear receptor in endometrial stroma. Reported to act with HAND2 to mediate progesterone action in the uterus in early pregnancy and to regulate stromal inflammation genes.",37664846;24176914,draft,
HIF1A,"Hypoxia-inducible transcription factor. Reported to be positively associated with endometrial receptivity (via PKM2), with altered endometrial expression suggested to contribute to implantation failure.",37533344;30885666,draft,
NR4A1,"Nur77, an immediate-early nuclear receptor. Promotes decidualization (inducing PRL and IGFBP1); it is repressed by KLF12 in recurrent implantation failure and impaired by hyperinsulinemia in PCOS.",27515096;28359310;38310251,draft,
DKK1,"Secreted Wnt inhibitor strongly induced during decidualization (71-fold in one study); PROK1 can induce DKK1 in endometrium and decidua, and aberrant DKK1 has been proposed to impair embryo attachment.",21858178;21546446;19955106,draft,
FOXO3,"Forkhead transcription factor related to FOXO1. Differential FOXO1/FOXO3a expression is reported to protect decidualizing cells from oxidative death; reduced FOXO3a accompanies inhibited decidualization.",16709600;31431660,draft,
ZBTB16,"PLZF, a progesterone-induced transcription factor. ChIP-seq/RNA-seq studies define the PLZF-controlled program during decidualization, including repression of EGR1 to allow progesterone-dependent differentiation.",29186366;27035670,draft,
